Recipe ID,Foods,Ingredients,instructions
1,Spaghetti Bolognese,"""Pasta, Ground beef, Onion, Garlic, Tomato sauce, Olive oil, Salt, Pepper""","""1. Cook pasta according to package instructions. 2. In a large skillet, heat olive oil over medium heat. 3. Add onion and garlic, cook until softened. 4. Add ground beef, cook until browned. 5. Stir in tomato sauce, salt, and pepper. 6. Simmer for 15 minutes. 7. Serve over cooked pasta."""
2,Caesar Salad,"""Romaine lettuce, Croutons, Parmesan cheese, Caesar dressing, Lemon juice, Olive oil, Salt, Pepper""","""1. Wash and chop Romaine lettuce. 2. In a large bowl, toss together lettuce, croutons, and Parmesan cheese. 3. In a small bowl, whisk together Caesar dressing, lemon juice, olive oil, salt, and pepper. 4. Pour dressing over salad and toss to coat evenly. 5. Serve immediately."""
3,Chicken Stir-Fry ,"""Chicken breast, Bell peppers, Broccoli, Carrots, Soy sauce, Garlic, Ginger, Olive oil, Salt, Pepper""","""1. Slice chicken breast into thin strips. 2. In a large skillet or wok, heat olive oil over high heat. 3. Add chicken strips and cook until browned. 4. Add chopped bell peppers, broccoli florets, and sliced carrots. 5. Stir in minced garlic and ginger. 6. Drizzle with soy sauce, season with salt and pepper. 7. Stir-fry until vegetables are tender and chicken is cooked through. 8. Serve hot."""
4,Beef Stroganoff,"""Beef sirloin, Onion, Mushroom, Beef broth, Sour cream, Worcestershire sauce, Olive oil, Salt, Pepper""","""1. Slice beef sirloin into thin strips. 2. In a large skillet, heat olive oil over medium-high heat. 3. Add beef strips and cook until browned. 4. Remove beef from skillet and set aside. 5. In the same skillet, add sliced onion and mushrooms. 6. Cook until softened. 7. Return beef to skillet. 8. Stir in beef broth, sour cream, and Worcestershire sauce. 9. Season with salt and pepper. 10. Simmer for 10 minutes. 11. Serve over cooked egg noodles or rice."""
5,Chicken Parmesan,"""Chicken breast, Bread crumbs, Parmesan cheese, Marinara sauce, Mozzarella cheese, Olive oil, Salt, Pepper""","""1. Preheat oven to 375ÁF (190ÁC). 2. Season chicken breast with salt and pepper. 3. In a shallow dish, combine bread crumbs and grated Parmesan cheese. 4. Dredge chicken in bread crumb mixture, coating evenly. 5. In a large skillet, heat olive oil over medium heat. 6. Add breaded chicken breast and cook until golden brown on both sides. 7. Transfer chicken to a baking dish. 8. Spoon marinara sauce over chicken. 9. Top with sliced Mozzarella cheese. 10. Bake for 20 minutes, or until chicken is cooked through and cheese is bubbly. 11. Serve hot."""
6,Chocolate Chip Cookies,"""All-purpose flour, Butter, Brown sugar, White sugar, Eggs, Vanilla extract, Baking soda, Salt, Chocolate chips""","""1. Preheat oven to 350ÁF (175ÁC). 2. In a mixing bowl, cream together softened butter, brown sugar, and white sugar until smooth. 3. Beat in eggs one at a time, then stir in vanilla extract. 4. Combine flour, baking soda, and salt; gradually blend into the creamed mixture. 5. Stir in chocolate chips. 6. Drop dough by rounded spoonfuls onto ungreased cookie sheets. 7. Bake for 8 to 10 minutes, or until edges are golden brown. 8. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely."""
6,Beef Tacos,"""Ground beef, Taco seasoning, Tortillas, Lettuce, Tomato, Onion, Cheese, Sour cream, Salsa""","""1. In a skillet, cook ground beef over medium heat until browned. 2. Drain excess fat. 3. Stir in taco seasoning and water according to package instructions. 4. Heat tortillas in a separate skillet. 5. Fill tortillas with cooked ground beef, lettuce, tomato, onion, cheese, sour cream, and salsa. 6. Serve hot."""
8,Spinach and Feta Stuffed Chicken,"""Chicken breast, Spinach, Feta cheese, Garlic, Olive oil, Salt, Pepper""","""1. Preheat oven to 375ÁF (190ÁC). 2. Season chicken breast with salt and pepper. 3. In a skillet, heat olive oil over medium heat. 4. Add minced garlic and cook until fragrant. 5. Add spinach and cook until wilted. 6. Remove skillet from heat and stir in crumbled feta cheese. 7. Slice a pocket into each chicken breast. 8. Stuff spinach and feta mixture into chicken breasts. 9. Secure with toothpicks if needed. 10. Place stuffed chicken breasts in a baking dish. 11. Bake for 25 to 30 minutes, or until chicken is cooked through. 12. Serve hot."""
9,Beef and Broccoli Stir-Fry,"""Flank steak, Broccoli, Garlic, Soy sauce, Brown sugar, Cornstarch, Olive oil, Salt, Pepper""","""1. Slice flank steak thinly against the grain. 2. In a small bowl, whisk together soy sauce, brown sugar, minced garlic, and cornstarch. 3. In a large skillet or wok, heat olive oil over high heat. 4. Add sliced beef and cook until browned. 5. Add broccoli florets and cook until tender-crisp. 6. Pour soy sauce mixture over beef and broccoli. 7. Stir-fry until sauce thickens. 8. Season with salt and pepper. 9. Serve hot over cooked rice."""
10,Penne alla Vodka,"""Penne pasta, Vodka, Tomato sauce, Heavy cream, Garlic, Olive oil, Red pepper flakes, Parmesan cheese, Salt, Pepper""","""1. Cook penne pasta according to package instructions. 2. In a large skillet, heat olive oil over medium heat. 3. Add minced garlic and red pepper flakes, cook until fragrant. 4. Pour in vodka and simmer until reduced by half."""
